month,pct,quantity_of_plasters,rx_items,actual_cost,net_cost
2016-01-01,03Q,3065.0,89,6846.68629,7396.870000000001
2016-01-01,03W,5580.0,173,12545.57001,13466.400000000001
2016-01-01,15C,2125.0,74,4749.0010600000005,5128.3499999999985
2015-10-01,14L,6000.0,192,13381.256260000002,14480.009999999998
2015-10-01,00X,4770.0,157,11169.728920000001,12086.96
2015-07-01,26A,2450.0,76,6400.2062000000005,6922.450000000001
2015-07-01,15C,3000.0,87,6695.4819800000005,7240.01
2019-10-01,02P,1710.0,47,3728.6694399999997,4014.5699999999997
2020-05-01,09D,2230.0,130,5011.76098,5381.950000000001
2020-05-01,93C,3070.0,93,6847.89248,7365.48
2018-09-01,10R,395.0,11,885.02606,953.2700000000001
2019-06-01,04Y,505.0,18,1067.4230200000002,1148.1399999999999
2019-06-01,00P,2595.0,84,5822.3574499999995,6262.599999999999
2019-01-01,09D,3250.0,94,7272.663949999999,7832.4800000000005
2019-01-01,14L,4340.0,144,9725.84688,10473.83
2019-01-01,15C,2715.0,80,5715.1556900000005,6155.8099999999995
2018-07-01,D2P2L,8720.0,270,19071.263919999998,20526.58000000001
2018-07-01,15C,2650.0,86,5723.30793,6160.039999999999
2019-12-01,02T,1195.0,36,2681.2948200000005,2883.9300000000003
2017-12-01,06N,5160.0,153,11115.75689,11991.24
2021-03-01,01H,2235.0,81,5022.00671,5393.79
2021-03-01,78H,1455.0,46,2911.13267,3127.6800000000003
2021-03-01,93C,3910.0,124,8728.064150000002,9376.380000000001
2019-11-01,03W,7305.0,213,16347.62878,17585.95
2019-11-01,D2P2L,7355.0,221,15847.64416,17045.95
2021-12-01,00Q,2370.0,73,5341.29582,5719.58
2021-12-01,03Q,3190.0,81,6944.53903,7437.9
2020-03-01,14L,4425.0,146,9550.959759999998,10277.18
2019-03-01,04C,9480.0,288,18723.33745,20145.340000000004
2019-03-01,03H,240.0,9,538.50895,579.2
2019-03-01,01E,3065.0,103,6876.140370000001,7396.870000000001
2017-02-01,01A,5165.0,177,11562.972589999998,12464.850000000002
2020-10-01,99F,420.0,13,941.2712400000001,1013.6
2015-12-01,72Q,44270.0,1439,98726.79927999999,106838.18
2015-12-01,02P,2195.0,76,4894.84578,5297.24
2020-08-01,03L,1925.0,64,4321.30837,4645.68
2020-08-01,99E,960.0,21,1992.8469599999999,2143.04
2020-11-01,10Q,8215.0,277,17121.33876,18401.129999999997
2021-08-01,04V,8590.0,249,16888.47157,18091.53
2021-08-01,02X,2740.0,86,6071.72942,6503.92
2015-09-01,16C,14040.0,447,34118.15804000001,36887.81999999999
2018-12-01,11J,1075.0,31,2378.44044,2561.75
2021-04-01,91Q,16360.0,510,33254.14596,35690.14000000001
2020-01-01,00T,2390.0,63,5274.22852,5670.139999999999
2020-07-01,02E,2880.0,72,6437.11557,6928.68
2020-07-01,92G,3160.0,91,6893.89172,7419.789999999999
2018-06-01,03N,5785.0,173,12933.08954,13928.560000000001
2015-06-01,01X,10590.0,376,23648.353300000002,25557.11
2015-06-01,99C,2305.0,75,5147.18542,5562.74
2018-03-01,36J,11445.0,363,25624.857109999997,27620.670000000006
2018-03-01,97R,6565.0,212,14699.333419999999,15843.480000000001
2017-10-01,03F,5325.0,155,11886.44274,12851.0
